INSTNM,MD_EARN_WNE_P10,CCBASIC,CCSIZSET,CCUGPROF,TUITIONFEE_OUT,APPL_SCH_PCT_GE5,FEMALE,PFTFTUG1_EF,GT_THRESHOLD_1YR,VETERAN,MARRIED,COMPL_RPY_1YR_RT,COMP_ORIG_YR6_RT,DEP_COMP_ORIG_YR4_RT,WDRAW_ORIG_YR2_RT,NOT1STGEN_COMP_ORIG_YR2_RT,UG25ABV
Northeastern University,92538.0,15.0,17.0,14.0,60192.0,0.64289012,0.541089566,0.7825,4115.0,0.0039242844,0.0445521699,0.8333333333,0.692244897959,0.776446065659,0.048821548822,0.066917293233,0.0067
Northern Essex Community College,42862.0,4.0,3.0,1.0,11472.0,0.1133802817,0.6158450704,0.3675,302.0,0.0098591549,0.0876760563,0.6021505376,0.232333502796,0.221365638767,0.529749103943,0.161676646707,0.3266
College of Our Lady of the Elms,51540.0,19.0,10.0,13.0,40635.0,0.2406209573,0.7723156533,0.463,414.0,,0.1164294955,0.6755952381,0.720554272517,0.696202531646,0.052132701422,0.397959183673,0.2774
Quincy College,52506.0,3.0,2.0,1.0,7344.0,0.1368209256,0.6995305164,0.2716,56.0,0.0254862508,0.1525821596,0.5620689655,0.220466516178,0.127659574468,0.473414477899,,0.5239
Quinsigamond Community College,45949.0,4.0,3.0,1.0,10774.0,0.0963269278,0.5701775724,0.3727,519.0,0.0087569934,0.1247871564,0.6186556927,0.254633061527,0.20510708402,0.468405215647,0.227424749164,0.3866
Regis College,52873.0,18.0,11.0,10.0,46150.0,0.4969512195,0.7896341463,0.8279,545.0,,0.0579268293,0.7817258883,0.652866242038,0.604562737643,0.05291005291,0.238532110092,0.2234
Roxbury Community College,38773.0,1.0,2.0,1.0,11088.0,0.1165644172,0.6958808063,0.432,149.0,0.0113935145,0.1332164768,,0.215384615385,0.198979591837,0.484320557491,0.185185185185,0.5438
Salem State University,56662.0,18.0,13.0,11.0,18961.0,0.2893617021,0.6470921986,0.7068,1591.0,0.0076595745,0.0468085106,0.6770630279,0.586167146974,0.512087912088,0.159855769231,0.194871794872,0.1721
Simmons University,63494.0,17.0,14.0,13.0,44350.0,0.6603773585,,0.767,479.0,,0.025527192,0.786377709,0.805479452055,0.473039215686,0.074941451991,0.092233009709,0.0847
Bard College at Simon's Rock,46543.0,23.0,8.0,10.0,64951.0,0.7276995305,0.6197183099,1.0,158.0,,,0.7960893855,0.711764705882,,0.234848484848,,0.0183
Smith College,64027.0,21.0,11.0,14.0,58768.0,0.6585365854,,0.9508,322.0,,0.0141206675,0.798115747,0.884803921569,,0.118518518519,0.080508474576,0.0304
Springfield College,48036.0,17.0,11.0,14.0,41694.0,0.343575419,0.5983240223,0.9162,525.0,,0.1067039106,0.5884194053,0.598796389168,0.690346083789,0.147153598281,0.078014184397,0.0097
Springfield Technical Community College,36966.0,7.0,3.0,1.0,10728.0,0.0918523039,0.5849862679,0.4195,578.0,0.0100701861,0.1019224901,0.618729097,0.31129476584,0.336633663366,0.488509520683,0.313953488372,0.4012
University of Massachusetts-Dartmouth,68804.0,16.0,14.0,13.0,30992.0,0.4463750749,0.5080886759,0.762,1618.0,0.0053924506,0.036249251,0.7508069722,0.566648964418,0.500656167979,0.149592549476,0.129353233831,0.1612
Stonehill College,77745.0,21.0,11.0,12.0,52000.0,0.6516516517,0.6086086086,0.9259,475.0,,,0.8457711443,0.796370967742,,0.045186640472,,0.0074
Suffolk University,67506.0,17.0,13.0,12.0,43332.0,0.6404285049,0.6008383791,0.8338,954.0,,0.0163018165,0.7241144414,0.615183246073,0.580555555556,0.115942028986,0.102409638554,0.0502
Tufts University,83214.0,15.0,17.0,14.0,65222.0,0.4956043956,0.4582417582,0.9641,973.0,,,0.9368686869,0.880829015544,,0.046421663443,0.063897763578,0.0099
Wellesley College,84803.0,21.0,11.0,14.0,61920.0,0.6660305344,,0.967,326.0,,,0.9245283019,0.927444794953,,0.131756756757,,0.0134
Wentworth Institute of Technology,82721.0,20.0,14.0,12.0,38760.0,0.4836795252,0.2059347181,0.8973,1095.0,,0.0237388724,0.8713235294,0.698754246886,0.650571791614,0.130533484677,,0.0664
